capacity,is_installed,is_renting,is_returning,is_virtual_station,last_reported,station_name,num_bikes_available,num_docks_available,region_id,rental_uris,short_name,station_id,vehicle_types_available
4.0,True,True,True,False,1770756680,Jelbi Allerstraße/Schillerpromenade (NEU/AS),2,2,362,"{'android': 'https://app.nextbike.net/station?id=136303842', 'ios': 'https://app.nextbike.net/station?id=136303842', 'web': 'https://nxtb.it/p/136303842'}",10555,136303842,"[{'count': 2, 'vehicle_type_id': '196'}]"
6.0,True,True,True,False,1770756680,Jelbi Kienitzer Straße/Schillerpromenade (NEU/KS),6,0,362,"{'android': 'https://app.nextbike.net/station?id=136304325', 'ios': 'https://app.nextbike.net/station?id=136304325', 'web': 'https://nxtb.it/p/136304325'}",10556,136304325,"[{'count': 6, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Flughafenstraße/IsarStraße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=136305711', 'ios': 'https://app.nextbike.net/station?id=136305711', 'web': 'https://nxtb.it/p/136305711'}",10559,136305711,"[{'count': 1, 'vehicle_type_id': '150'}, {'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,S Hermannstraße (Südost),1,3,362,"{'android': 'https://app.nextbike.net/station?id=136306504', 'ios': 'https://app.nextbike.net/station?id=136306504', 'web': 'https://nxtb.it/p/136306504'}",10561,136306504,"[{'count': 1, 'vehicle_type_id': '196'}]"
10.0,True,True,True,False,1770756680,Jelbi U Weinmeisterstraße (MIT/WE),3,7,362,"{'android': 'https://app.nextbike.net/station?id=136311950', 'ios': 'https://app.nextbike.net/station?id=136311950', 'web': 'https://nxtb.it/p/136311950'}",10569,136311950,"[{'count': 3, 'vehicle_type_id': '196'}]"
8.0,True,True,True,False,1770756680,Jelbi Dircksenstraße/Rochstraße (MIT/DR),4,4,362,"{'android': 'https://app.nextbike.net/station?id=136313172', 'ios': 'https://app.nextbike.net/station?id=136313172', 'web': 'https://nxtb.it/p/136313172'}",10571,136313172,"[{'count': 4, 'vehicle_type_id': '196'}]"
10.0,True,True,True,True,1770756680,Zionskirche (Nord) (Mobilitätsstation),5,5,362,"{'android': 'https://app.nextbike.net/station?id=136313964', 'ios': 'https://app.nextbike.net/station?id=136313964', 'web': 'https://nxtb.it/p/136313964'}",10575,136313964,"[{'count': 2, 'vehicle_type_id': '150'}, {'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Gustav-Adolf-Straße/Landhansstraße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=136536393', 'ios': 'https://app.nextbike.net/station?id=136536393', 'web': 'https://nxtb.it/p/136536393'}",10579,136536393,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Masurenstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=136546609', 'ios': 'https://app.nextbike.net/station?id=136546609', 'web': 'https://nxtb.it/p/136546609'}",10589,136546609,[]
4.0,True,True,True,True,1770756680,Eisenacher Straße/Mariendorfer Damm,0,4,362,"{'android': 'https://app.nextbike.net/station?id=136567931', 'ios': 'https://app.nextbike.net/station?id=136567931', 'web': 'https://nxtb.it/p/136567931'}",10594,136567931,[]
4.0,True,True,True,True,1770756680,Gontermannstraße/Wüsthoffstraße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=136737006', 'ios': 'https://app.nextbike.net/station?id=136737006', 'web': 'https://nxtb.it/p/136737006'}",10596,136737006,"[{'count': 2, 'vehicle_type_id': '196'}]"
8.0,True,True,True,False,1770756680,Jelbi-Punkt Graefestr./Urbanstr. (KRE/GU),2,5,362,"{'android': 'https://app.nextbike.net/station?id=136737844', 'ios': 'https://app.nextbike.net/station?id=136737844', 'web': 'https://nxtb.it/p/136737844'}",10597,136737844,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,IKEA-Tempelhof (Süd),0,4,362,"{'android': 'https://app.nextbike.net/station?id=136738766', 'ios': 'https://app.nextbike.net/station?id=136738766', 'web': 'https://nxtb.it/p/136738766'}",10600,136738766,[]
4.0,True,True,True,True,1770756680,Kissingenstraße/Neumannstraße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137160694', 'ios': 'https://app.nextbike.net/station?id=137160694', 'web': 'https://nxtb.it/p/137160694'}",10601,137160694,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Maximilianstraße/Brixener Straße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137162202', 'ios': 'https://app.nextbike.net/station?id=137162202', 'web': 'https://nxtb.it/p/137162202'}",10605,137162202,[]
4.0,True,True,True,True,1770756680,Kühleweinstraße/Reginhardstraße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137163601', 'ios': 'https://app.nextbike.net/station?id=137163601', 'web': 'https://nxtb.it/p/137163601'}",10608,137163601,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,False,1770756680,Samoastraße/Sprengelstraße (Mobilitätsstation),0,4,362,"{'android': 'https://app.nextbike.net/station?id=137164987', 'ios': 'https://app.nextbike.net/station?id=137164987', 'web': 'https://nxtb.it/p/137164987'}",10611,137164987,[]
4.0,True,True,True,True,1770756680,Neue Straße/Borussiastraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137165839', 'ios': 'https://app.nextbike.net/station?id=137165839', 'web': 'https://nxtb.it/p/137165839'}",10612,137165839,[]
4.0,True,True,True,True,1770756680,U Kaiserin-Augusta-Str. (Nord),1,3,362,"{'android': 'https://app.nextbike.net/station?id=137166510', 'ios': 'https://app.nextbike.net/station?id=137166510', 'web': 'https://nxtb.it/p/137166510'}",10613,137166510,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Bürgermeisterstraße/Manteuffelstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137166841', 'ios': 'https://app.nextbike.net/station?id=137166841', 'web': 'https://nxtb.it/p/137166841'}",10614,137166841,[]
4.0,True,True,True,True,1770756680,S Botanischer Garten (West),2,2,362,"{'android': 'https://app.nextbike.net/station?id=137170838', 'ios': 'https://app.nextbike.net/station?id=137170838', 'web': 'https://nxtb.it/p/137170838'}",10616,137170838,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Britzer Damm/Blaschkoallee,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137171841', 'ios': 'https://app.nextbike.net/station?id=137171841', 'web': 'https://nxtb.it/p/137171841'}",10618,137171841,[]
4.0,True,True,True,True,1770756680,Germaniapromenade/Friedrichsbrunner Straße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137172825', 'ios': 'https://app.nextbike.net/station?id=137172825', 'web': 'https://nxtb.it/p/137172825'}",10620,137172825,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Kranoldstraße/Kranoldplatz,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137173313', 'ios': 'https://app.nextbike.net/station?id=137173313', 'web': 'https://nxtb.it/p/137173313'}",10621,137173313,[]
4.0,True,True,True,True,1770756680,Bruno-Bauer-Straße/Glasower Straße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137174023', 'ios': 'https://app.nextbike.net/station?id=137174023', 'web': 'https://nxtb.it/p/137174023'}",10622,137174023,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Lahnstraße/Naumburger Straße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137175485', 'ios': 'https://app.nextbike.net/station?id=137175485', 'web': 'https://nxtb.it/p/137175485'}",10624,137175485,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Hermannstraße/Glasower Straße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137183176', 'ios': 'https://app.nextbike.net/station?id=137183176', 'web': 'https://nxtb.it/p/137183176'}",10625,137183176,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Hermannstraße/Glasower Straße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137183644', 'ios': 'https://app.nextbike.net/station?id=137183644', 'web': 'https://nxtb.it/p/137183644'}",10626,137183644,[]
4.0,True,True,True,True,1770756680,Kniephofstraße/Altmarkstraße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137231883', 'ios': 'https://app.nextbike.net/station?id=137231883', 'web': 'https://nxtb.it/p/137231883'}",10638,137231883,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Südendstraße/Filandstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137232344', 'ios': 'https://app.nextbike.net/station?id=137232344', 'web': 'https://nxtb.it/p/137232344'}",10639,137232344,[]
4.0,True,True,True,True,1770756680,EDEKA Albrechtstraße (Plantagenstraße),0,4,362,"{'android': 'https://app.nextbike.net/station?id=137232779', 'ios': 'https://app.nextbike.net/station?id=137232779', 'web': 'https://nxtb.it/p/137232779'}",10640,137232779,[]
4.0,True,True,True,True,1770756680,Zimmermannstraße/Lepsiusstraße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=137241533', 'ios': 'https://app.nextbike.net/station?id=137241533', 'web': 'https://nxtb.it/p/137241533'}",10645,137241533,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,EDEKA Küther (Drakestraße),4,0,362,"{'android': 'https://app.nextbike.net/station?id=137242085', 'ios': 'https://app.nextbike.net/station?id=137242085', 'web': 'https://nxtb.it/p/137242085'}",10646,137242085,"[{'count': 4, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Goßlerstraße/Stubenrauchstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137242830', 'ios': 'https://app.nextbike.net/station?id=137242830', 'web': 'https://nxtb.it/p/137242830'}",10647,137242830,[]
4.0,True,True,True,True,1770756680,Albestraße/Handjerystraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137243282', 'ios': 'https://app.nextbike.net/station?id=137243282', 'web': 'https://nxtb.it/p/137243282'}",10648,137243282,[]
4.0,True,True,True,True,1770756680,Röblingstraße/Attilastraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137243636', 'ios': 'https://app.nextbike.net/station?id=137243636', 'web': 'https://nxtb.it/p/137243636'}",10649,137243636,[]
4.0,True,True,True,True,1770756680,Mildred-Harnack-Straße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=137265355', 'ios': 'https://app.nextbike.net/station?id=137265355', 'web': 'https://nxtb.it/p/137265355'}",10670,137265355,[]
4.0,True,True,True,True,1770756680,S Ostbahnhof (Nordwest),3,1,362,"{'android': 'https://app.nextbike.net/station?id=137266042', 'ios': 'https://app.nextbike.net/station?id=137266042', 'web': 'https://nxtb.it/p/137266042'}",10673,137266042,"[{'count': 2, 'vehicle_type_id': '150'}, {'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Bödikerstraße/Corinthstraße,2,2,362,"{'android': 'https://app.nextbike.net/station?id=138031942', 'ios': 'https://app.nextbike.net/station?id=138031942', 'web': 'https://nxtb.it/p/138031942'}",10679,138031942,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Koenigsallee/Erdener Straße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138037686', 'ios': 'https://app.nextbike.net/station?id=138037686', 'web': 'https://nxtb.it/p/138037686'}",10692,138037686,[]
4.0,True,True,True,True,1770756680,Bismarckallee/Herthastraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138038828', 'ios': 'https://app.nextbike.net/station?id=138038828', 'web': 'https://nxtb.it/p/138038828'}",10697,138038828,[]
4.0,True,True,True,True,1770756680,Franzensbader Straße/Delbrückstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=138039202', 'ios': 'https://app.nextbike.net/station?id=138039202', 'web': 'https://nxtb.it/p/138039202'}",10698,138039202,[]
